position,question,answers
1,Обычно Вы:,"['общительны', 'довольно сдержанны и спокойны']"
2,"Если бы вы были преподавателем, то с большим удовольствием бы вели:","['практические занятия', 'теоретические занятия']"
3,Вы чаще позволяете:,"['чувствам управлять вашим разумом', 'разуму управлять вашими чувствами']"
4,"Когда Вы решаете поехать куда-либо на один день, Вы обычно:","['планируете, что и когда вы будете делать', 'просто отправляетесь в путь']"
5,Находясь в компании Вы обычно:,"['присоединяетесь к общему разговору', 'беседуете с каждым отдельно']"
6,Вам обычно легче общаться:,"['с людьми, склонными к фантазированию', 'с реалистичными людьми']"
7,"Вы сочтете комплиментом, если Вас назовут:","['чувствительным человеком', 'разумным человеком']"
8,Вы предпочитаете:,"['заранее решать, что будете на определенной встрече, вечеринке и т.п.', 'решать в последний момент, чтобы иметь возможность выбрать себе развлечение']"
9,В большой компании чаще:,"['Вы представляете людей друг другу', 'Вас знакомят с другими']"
10,Вас скорее можно назвать:,"['человеком практичным', 'выдумщиком, романтиком']"
11,Вы обычно:,"['цените чувства больше, чем логику', 'цените логику больше, чем чувства']"
12,Вы склонны жить и работать:,"['справляясь с неожиданностями и стараясь быстро найти решения', 'следуя тщательно проработанному плану']"
13,"Вы больше склонны к тому, чтобы:","['иметь глубокие дружеские отношения с несколькими людьми', 'приятельские отношения со многими']"
14,"Вам больше нравятся люди, которые:","['следуют общепринятым нормам и не привлекают к себе внимания', 'настолько оригинальны, что им все равно, обращают на них внимание или нет']"
15,"Вы считаете, что более серьезный недостаток:","['быть слишком мягкосердечным', 'быть недостаточно мягкосердечным']"
16,"Когда Вам надо придерживаться расписания, это:","['дисциплинирует Вас', 'снижает Вашу результативность']"
17,Среди своих друзей Вы:,"['позже других узнаете о событиях из их жизни', 'обычно знаете массу новостей о них']"
18,"Вы бы предпочли иметь среди своих друзей человека, который:","['всегда полон новых идей', 'трезво и реалистично смотрит на мир']"
19,"Принимая важное решение Вы, вероятно, будете:","['доверять своим чувствам в выборе наилучшего решения', 'доверять своей логике']"
20,"Мысль о том, чтобы составить список дел на выходные:","['Вы считаете правильной', 'угнетает Вас']"
21,Обыкновенно Вы:,"['можете свободно разговаривать практически с любым человеком в течение любого времени', 'не всегда находите, что сказать незнакомому человеку']"
22,"Когда Вы читаете для своего удовольствия, Вам нравится:","['необычная, оригинальная манера изложения', 'когда писатели четко выражают свои мысли']"
23,Вас больше волнуют:,"['чувства людей', 'их права']"
24,Эффективность Вашей работы выше:,"['когда появляются непредвиденные ситуации, и Вам приходится работать с мобилизацией сил', 'когда Вы работаете в привычном графике']"
25,Люди могут определить область Ваших интересов:,"['при первом знакомстве с Вами', 'лишь тогда, когда узнают Вас поближе']"
26,"Когда Вы делаете то же самое, что и многие другие, Вы предпочитаете:","['делать это общепринятым способом', 'изобрести свой способ']"
27,Какое слово в паре «привязанность - рассудочность» Вам больше нравится по смыслу?,"['привязанность', 'рассудочность']"
28,"Когда нужно сделать какую-то особую работу, Вы предпочитаете:","['тщательно организовать все до того, как Вы к ней приступите', 'выяснять все необходимое в процессе работы']"
29,Вы обыкновенно:,"['свободно выражаете свои чувства', 'держите свои чувства при себе']"
30,Какое слово в паре «факты - идеи» Вам больше нравится по смыслу?,"['факты', 'идеи']"
31,Какое слово в паре «мысли - чувства» Вам больше нравится по смыслу?,"['мысли', 'чувства']"
32,"Когда Вы знаете, что в определенное время будете заниматься определенным делом:","['Вам легче планировать свои дела', 'Вам приходится подстраиваться под этот график']"
33,Какое слово в паре «жизнерадостный - спокойный» Вам больше нравится по смыслу?,"['жизнерадостный', 'спокойный']"
34,Какое слово в паре «теория - практика» Вам больше нравится по смыслу?,"['теория', 'практика']"
35,Какое слово в паре «убедительный - трогательный» Вам больше нравится по смыслу?,"['убедительный', 'трогательный']"
36,Какое слово в паре «предписанный - незапланированный» Вам больше нравится по смыслу?,"['предписанный\xa0', 'незапланированный']"
37,Какое слово в паре «сдержанный - разговорчивый» Вам больше нравится по смыслу?,"['сдержанный', 'разговорчивый']"
38,Какое слово в паре «теория - факт» Вам больше нравится по смыслу?,"['теория', 'факт']"
39,Какое слово в паре «анализировать - сочувствовать» Вам больше нравится по смыслу?,"['анализировать', 'сочувствовать']"
40,Какое слово в паре «систематический - спонтанный» Вам больше нравится по смыслу?,"['систематический', 'спонтанный']"
41,Какое слово в паре «спокойный - оживленный» Вам больше нравится по смыслу?,"['спокойный\xa0', 'оживленный']"
42,Какое слово в паре «буквальный - фигуральный» Вам больше нравится по смыслу?,"['буквальный\xa0', 'фигуральный']"
43,Какое слово в паре «справедливость - милосердие» Вам больше нравится по смыслу?,"['справедливость', 'милосердие']"
44,Какое слово в паре «закономерный - случайный» Вам больше нравится по смыслу?,"['закономерный', 'случайный']"
45,Какое слово в паре «говорить - писать» Вам больше нравится по смыслу?,"['говорить', 'писать']"
46,Какое слово в паре «мечтательный - практичный» Вам больше нравится по смыслу?,"['мечтательный', 'практичный']"
47,Какое слово в паре «сострадание - предусмотрительность» Вам больше нравится по смыслу?,"['сострадание', 'предусмотрительность']"
48,Какое слово в паре «порыв - решение» Вам больше нравится по смыслу?,"['порыв', 'решение']"
49,Какое слово в паре «общительный - замкнутый» Вам больше нравится по смыслу?,"['общительный', 'замкнутый']"
50,Какое слово в паре «производить - творить» Вам больше нравится по смыслу?,"['производить', 'творить']"
51,Какое слово в паре «польза - благо» Вам больше нравится по смыслу?,"['польза', 'благо']"
52,Какое слово в паре «пунктуальность - импровизация» Вам больше нравится по смыслу?,"['пунктуальность', 'импровизация']"
53,Какое слово в паре «вечеринка - театр» Вам больше нравится по смыслу?,"['вечеринка', 'театр']"
54,Какое слово в паре «благоразумный - очаровательный» Вам больше нравится по смыслу?,"['благоразумный', 'очаровательный']"
55,Какое слово в паре «решительный - преданный» Вам больше нравится по смыслу?,"['решительный', 'преданный']"
56,Какое слово в паре «изменяющийся - постоянный» Вам больше нравится по смыслу?,"['изменяющийся', 'постоянный']"
57,Вы считаете себя:,"['более увлекающимся человеком, чем другие', 'менее увлекающимся']"
58,Какое слово в паре «исполнение - творчество» Вам больше нравится по смыслу?,"['исполнение', 'творчество']"
59,Какое слово в паре «принципиальный - мягкосердечный» Вам больше нравится по смыслу?,"['принципиальный', 'мягкосердечный']"
60,Какое слово в паре «дисциплинированный - непринужденный» Вам больше нравится по смыслу?,"['дисциплинированный', 'непринужденный']"
61,На вечеринках Вам:,"['часто приходится скучать', 'обычно удается хорошо проводить время']"
62,Какое слово в паре «конкретный - абстрактный» Вам больше нравится по смыслу?,"['конкретный', 'абстрактный']"
63,Какое слово в паре «миротворец - судья» Вам больше нравится по смыслу?,"['миротворец', 'судья']"
64,Какое слово в паре «стремительный - тщательный» Вам больше нравится по смыслу?,"['стремительный', 'тщательный']"
65,Как правило Вы:,"['постоянно заводите новые знакомства', 'общаетесь со старыми друзьями']"
66,Какое слово в паре «сооружать - изобретать» Вам больше нравится по смыслу?,"['сооружать', 'изобретать']"
67,Какое слово в паре «мягкий - твердый» Вам больше нравится по смыслу?,"['мягкий', 'твердый']"
68,Вы скорее:,"['предпочитаете все делать в последний момент', 'находите, что оставлять что-либо напоследок, действует Вам на нервы']"
69,"Когда что-либо новое входит в моду, Вы обычно:","['одним из первых испробуете это', 'мало этим интересуетесь']"
70,Какое слово в паре «фундамент - шпиль» Вам больше нравится по смыслу?,"['фундамент', 'шпиль']"
71,Какое слово в паре «прощать - терпеть» Вам больше нравится по смыслу?,"['прощать', 'терпеть']"
72,"Вы считаете, что соблюдение распорядка дня:","['помогает спокойно работать', 'ограничивает Вашу свободу']"
73,"Если Вы попадаете в неловкое положение, Вы обычно:","['оборачиваете все в шутку', 'находите достойный выход из него только спустя значительное время']"
74,Какое слово в паре «интуиция - опыт» Вам больше нравится по смыслу?,"['интуиция', 'опыт']"
75,Какое слово в паре «кто - что» Вам больше нравится по смыслу?,"['кто', 'что']"
76,"Когда Вы думаете о какой-либо мелочи, которую надо сделать или купить:","['Вы скорее всего забудете об этом и вспомните намного позже', 'Вы обычно записываете, чтобы не забыть']"
77,"Вы считаете, что Ваши близкие знают о Ваших чувствах/мыслях:","['в большинстве случаев', 'только тогда, когда Вы сообщите им об этом']"
78,Какое слово в паре «знак - символ» Вам больше нравится по смыслу?,"['знак', 'символ']"
79,Какое слово в паре «похвала - критика» Вам больше нравится по смыслу?,"['похвала', 'критика']"
80,Вам труднее приспособиться:,"['к заведенному порядку', 'к постоянным изменениям']"
81,На вечеринках Вам нравится:,"['руководить событиями', 'не мешать другим развлекаться, как они хотят']"
82,"Какое слово в паре «принимать, как есть - изменять» Вам больше нравится по смыслу?","['принимать, как есть', 'изменять']"
83,Какое слово в паре «осторожный - доверчивый» Вам больше нравится по смыслу?,"['осторожный', '\xa0доверчивый']"
84,"Когда Вы приступаете к большой работе, которую нужно сделать в кратчайший срок, Вы:","['жертвуете временем, чтобы расписать, что должно быть сделано и в какой очередности', 'просто погружаетесь в дело']"
85,Предпочитаете ли Вы работать в больших группах:,"['скорее да', 'скорее нет']"
86,Какое слово в паре «понятный - загадочный» Вам больше нравится по смыслу?,"['понятный', 'загадочный']"
87,Какое слово в паре «соглашаться - спорить» Вам больше нравится по смыслу?,"['соглашаться', 'спорить']"
88,"Когда Вы беретесь за какую-либо работу, Вы рассчитываете:","['начать пораньше, чтобы иметь резерв времени', 'что всегда сможете развить в конце бешеную скорость']"
89,"Как Вы чувствуете себя, попав в незнакомую обстановку:","['спокойно', 'тревожно']"
90,Вы предпочтете:,"['быть оригинальным, жить по собственным правилам', 'следовать общепринятым нормам, традициям']"
91,Какое слово в паре «кроткий - настойчивый» Вам больше нравится по смыслу?,"['кроткий', 'настойчивый']"
92,"Если бы в субботу утром Вас спросили, что Вы собираетесь делать в выходные, Вы:","['смогли бы точно перечислить, что именно, и за какой срок', 'скорее всего перечислили бы в два раза больше дел, чем успеете сделать']"
93,"Можно ли сказать, что Вы интересуетесь другими людьми и их делами?","['скорее да', 'скорее нет']"
94,Более высокой похвалой человеку будет признание:,"['его способности к предвидению, интуиции', 'его здравого смысла']"
95,"Вы считаете, что хуже быть:","['бесчувственным', 'неблагоразумным']"
96,"Находите ли Вы, что однообразные и привычные занятия в течение дня:","['успокаивают Вас', 'утомляют Вас']"
97,"Высказываться, выражая интересы группы, для Вас:","['легко и приятно', 'неприятная обязанность']"
98,"Вы считаете, что важнее уметь:","['видеть в любой ситуации скрытые возможности', 'приспособиться к ситуации']"
99,"Вы предпочли бы работать с руководителем, который:","['всегда добр', 'всегда справедлив']"
100,"Вашим другом легче стать тому, кто:","['разделяет Ващи стандарты и точку зрения', 'является интересным человеком']"
101,"Вы предпочли бы, чтобы о Вас говорили:","['действует быстро, не задумываясь', 'все обдумывает, иногда слишком долго']"
102,"Если бы Вы обладали общественным влиянием, то:","['не призывали бы к значительным изменениям в существующих порядках', 'призывали бы решительно отметать все, что не отвечает требованиям дня']"
103,"Было бы правдой, если бы о Вас сказали, что:","['Вы часто критикуете, не верите на слово', 'Вы часто думаете так, как другие, верите в их правоту']"
104,Какое слово в паре «решительность - любопытство» Вам больше нравится по смыслу?,"['решительность', 'любопытство']"
105,"Когда Вас прерывают, Вы:","['легко реагируете', 'легко раздражаетесь']"
106,Какое слово в паре «наблюдать - воображать» Вам больше нравится по смыслу?,"['наблюдать', 'воображать']"
107,На рабочем месте Вам привычнее проявлять:,"['сдержанность и деловитость', 'чуткость и понимание']"
108,"Вам приятнее было бы работать с начальником, который:","['всегда точен,\xa0пунктуален', 'всегда полон новых идей']"
109,"Можно ли о Вас сказать, что Вы:","['проявляете энтузиазм в том, что требует действия', 'склонны отдавать предпочтения размышлениям']"
110,"Можно ли сказать о Вас, что Вы не всегда выслушиваете других, предвидя, что те скажут:","['скорее да', 'скорее нет\xa0']"
111,Холодное отношение к Вам коллег:,"['безразлично Вам', 'обижает Вас']"
112,Вы чаще поступаете:,"['как считаете правильным', 'как диктуют обстоятельства']"
113,"Можно ли Вас назвать человеком, который хочет постоянно осваивать и понимать новое?","['скорее да', 'скорее нет']"
114,В споре Вы:,"['аргументируете свою позицию', 'быстро переходите к выводам, пропуская факты']"
115,Для Вас важнее:,"['настоять на своем', 'сохранить отношения']"
116,В жизни и работе Вы:,"['умеете планировать и живете в соответствии с планами', 'планируете редко, действуете по ситуации']"
117,Вам приятнее работать:,"['с письменными заданиями', 'с личными выступлениями']"
118,Какое слово в паре «целое - детали» Вам больше нравится по смыслу?,"['целое', 'детали']"
119,Какое слово в паре «честность - тактичность» Вам больше нравится по смыслу?,"['честность', 'тактичность']"
120,"Ожидая результата, Вы скорее скажете:","['так должно быть', 'так может быть']"
121,"Если Вам задали неожиданный вопрос, Вы:","['отвечаете, не задумываясь', 'испытываете дискомфорт, думаете, прежде чем ответить']"
122,Вы привыкли больше заботиться о событиях:,"['сегодняшнего дня', 'которые не касаются текущего момента']"
123,Свойственно ли Вам предсказывать чувства других?,"['скорее да\xa0', 'скорее нет\xa0']"
124,Какое слово в паре «понимать - управлять» Вам больше нравится по смыслу?,"['понимать', 'управлять']"
125,"О Вас можно сказать, что Вы:","['предпочитаете работу, требующую сосредоточения', 'не всегда можете сосредотачиваться долго на одной задаче, предмете']"
126,"Вас можно скорее назвать человеком, который:","['склонен ориентироваться на очевидные факты', 'видит варианты, которые другие не замечают']"
127,"Можно ли сказать, что Вы:","['принимаете близко к сердцу эмоциональные проблемы', 'относитесь к эмоциональным проблемам, как к помехе в решении задач']"
128,В конце рабочего дня Вы чаще:,"['забываете о времени, увлекаясь решением задач', 'стремитесь завершить какую-то часть и закончить работу вовремя']"
129,В работе Вы:,"['задаете собственные стандарты, где это возможно', 'больше интересуетесь, как работу делают другие']"
130,Вы чаще работаете:,"['в ровном темпе', 'приступами, с затишьями перед ними']"
131,"Работая в группе, Вы:","['затрачиваете некоторое время, чтобы наладить отношения', 'сразу легко ладите с другими']"
132,"Можно ли сказать, что Вы иногда нахватываете больше, чем можете переварить или использовать?","['скорее да', 'скорее нет']"
133,Вам приятнее сообщать о результатах работы:,"['в отчетах', 'на встречах и совещаниях']"
134,При выполнении рабочих задач Вы:,"['предпочитаете опираться на свой опыт и знания', 'каждый раз опираетесь на новый подход, требующий новых знаний']"
135,"Правдой ли будет, если сказать о Вас, что Вы:","['не выносите конфликтов, это отрицательно сказывается на эффективности', 'можете работать и в неблагоприятных эмоциональных условиях']"
136,Вам более свойственно:,"['стараться ничего не упустить в жизни', 'следовать выбранным путем']"
137,Вы предпочли бы:,"['работу над одной задачей в течение долгого времени', 'переключаться от задачи к задаче']"
138,Какое слово в паре «работать  - вдохновлять» Вам больше нравится по смыслу?,"['работать\xa0', 'вдохновлять']"
139,"О Вас можно сказать, что Вы человек, который:","['возбуждает энтузиазм', 'обычно ровен и деловит']"
140,Предпочтительно Вы:,"['живете, подчиняясь наличной ситуации', 'строите свою жизнь по плану']"
141,"Когда Вы учитесь новому, Вы:","['просите больше подкреплять слова конкретными примерами', 'быстро схватываете значения слов и символов']"
142,Вы склонны:,"['запоминать', 'рассуждать и искать причины']"
